ACCESSION_DATE,YEAR_INSTALLED,TITLE,ARTIST,MATERIAL,LOCATION,DETAILED_LOCATION,NOTES,POINT_X,POINT_Y,GLOBALID
1988.2.1,1988,When Legends Run Free (Running Wolves),Rik Sargent,Bronze,Museum of Nature and Science,,,3156727.48188,1697895.7896,{D1D2EA0B-6B24-4498-B5A5-662B33FBBFD7}
1969.1.1,1968,Unititled,Angelo DiBenidetto,concrete and original was plywood,Burns Park,,Redone in 2004 in concrete,3157607.57976,1685009.17899,{CD0CE849-8E28-4680-B152-27024151B1C0}
1999.1.1,1999,Jazz,Barbara Baer,Painted Steel,Burns Park,,,3157595.6445,1685163.04116,{CC16AB14-6D6B-4635-A9E3-4CB6B3A8A02A}
1993.7.1,1993,Petros,Bill Gian.,Painted Steel,Creekfront Park,,,3140507.25537,1697234.55949,{E9D4E20F-9B0F-4E59-A2AC-C2A7F113C902}
1995.4.1,1995,Legend,William Burgess,Painted Steel,16th Street Mall Extension,,,3140586.24889,1698891.24245,{E1E625E7-20A3-48F2-AC7A-FC8CC6D6D600}
1995.5.1,1995,Platte Valley Time Vanes  6 vanes,David Griggs,Painted Fabricated Steel,23rd Street Viaduct,,,3143137.70225,1701063.08751,{9C91C578-24FE-4193-8890-45F95D243494}
1968.3.1,1968,Untitled,Wilbert Verhelst,Wood and plexiglass,Burns Park,,,3157519.90577,1684722.72112,{95767545-6498-49FD-9841-A7F2EF15A9A6}
1968.2.1,1968,Untitled,Roger Kotoske,Wood and plexiglass,Burns Park,,,3157660.53154,1684886.99989,{9BCF44C3-4494-4AAE-9380-D8FC1173B269}
1989.4.1,1989,Hogback,Elaine Calzolari,Sandstone  ,Cherry Creek Park,,,3154371.37265,1685640.84385,{2641A8F2-F596-463D-8809-4FFFE6A94B73}
1990.2.1,1990,Park and Garden Benches,Carolyn Braaksma,Concrete and Bronze,Colorado Blvd and MLK Blvd,,,3166038.21316,1705931.76436,{9447E5BE-70B0-46F2-8297-0C0629FC8EF1}
1990.1.1,1990,Sandstone Median,Trine Bumiller,Sandstone,Colorado Blvd,On medians down Colorado Blvd. between 44th and Alameda,,3157337.33965,1685671.92978,{82CB2B10-BA91-49CA-8EE6-650B08D1BD74}
